Data;HoraMinutoSegundo;Milissegundos;MensagensEnviadas;ComandoExecutado
2024-01-04;17:16:19;592;193;python3 -m app.rabbit_publisher 193
2024-01-04;17:16:29;751;306;python3 -m app.rabbit_publisher 306
2024-01-04;17:16:39;907;216;python3 -m app.rabbit_publisher 216
2024-01-04;17:16:50;056;251;python3 -m app.rabbit_publisher 251
2024-01-04;17:17:00;209;163;python3 -m app.rabbit_publisher 163
2024-01-04;17:17:10;353;290;python3 -m app.rabbit_publisher 290
2024-01-04;17:17:20;510;323;python3 -m app.rabbit_publisher 323
2024-01-04;17:17:30;686;236;python3 -m app.rabbit_publisher 236
2024-01-04;17:17:40;839;181;python3 -m app.rabbit_publisher 181
2024-01-04;17:17:51;031;179;python3 -m app.rabbit_publisher 179
2024-01-04;17:18:01;177;347;python3 -m app.rabbit_publisher 347
2024-01-04;17:18:11;350;261;python3 -m app.rabbit_publisher 261
2024-01-04;17:18:21;640;188;python3 -m app.rabbit_publisher 188
2024-01-04;17:18:31;801;146;python3 -m app.rabbit_publisher 146
2024-01-04;17:18:41;963;182;python3 -m app.rabbit_publisher 182
2024-01-04;17:18:52;229;326;python3 -m app.rabbit_publisher 326
2024-01-04;17:19:02;395;268;python3 -m app.rabbit_publisher 268
2024-01-04;17:19:12;553;209;python3 -m app.rabbit_publisher 209
2024-01-04;17:19:22;709;328;python3 -m app.rabbit_publisher 328
2024-01-04;17:19:32;875;248;python3 -m app.rabbit_publisher 248
2024-01-04;17:19:43;038;217;python3 -m app.rabbit_publisher 217
2024-01-04;17:19:53;190;324;python3 -m app.rabbit_publisher 324
2024-01-04;17:20:03;367;185;python3 -m app.rabbit_publisher 185
2024-01-04;17:20:13;519;199;python3 -m app.rabbit_publisher 199
2024-01-04;17:20:23;692;229;python3 -m app.rabbit_publisher 229
2024-01-04;17:20:33;847;208;python3 -m app.rabbit_publisher 208
2024-01-04;17:20:44;009;199;python3 -m app.rabbit_publisher 199
2024-01-04;17:20:54;174;128;python3 -m app.rabbit_publisher 128
2024-01-04;17:21:04;319;213;python3 -m app.rabbit_publisher 213
2024-01-04;17:21:14;476;234;python3 -m app.rabbit_publisher 234
2024-01-04;17:21:24;655;122;python3 -m app.rabbit_publisher 122
2024-01-04;17:21:34;809;147;python3 -m app.rabbit_publisher 147
2024-01-04;17:21:44;968;270;python3 -m app.rabbit_publisher 270
2024-01-04;17:21:55;170;336;python3 -m app.rabbit_publisher 336
2024-01-04;17:22:05;366;183;python3 -m app.rabbit_publisher 183
2024-01-04;17:22:15;516;289;python3 -m app.rabbit_publisher 289
2024-01-04;17:22:25;676;227;python3 -m app.rabbit_publisher 227
2024-01-04;17:22:35;848;199;python3 -m app.rabbit_publisher 199
2024-01-04;17:22:45;997;219;python3 -m app.rabbit_publisher 219
2024-01-04;17:22:56;149;146;python3 -m app.rabbit_publisher 146
2024-01-04;17:23:06;307;287;python3 -m app.rabbit_publisher 287
2024-01-04;17:23:16;488;100;python3 -m app.rabbit_publisher 100
2024-01-04;17:23:26;641;122;python3 -m app.rabbit_publisher 122
2024-01-04;17:23:36;790;250;python3 -m app.rabbit_publisher 250
2024-01-04;17:23:46;960;159;python3 -m app.rabbit_publisher 159
2024-01-04;17:23:57;103;267;python3 -m app.rabbit_publisher 267
2024-01-04;17:24:07;255;282;python3 -m app.rabbit_publisher 282
2024-01-04;17:24:17;426;279;python3 -m app.rabbit_publisher 279
2024-01-04;17:24:27;582;341;python3 -m app.rabbit_publisher 341
2024-01-04;17:24:37;743;343;python3 -m app.rabbit_publisher 343
2024-01-04;17:24:47;902;294;python3 -m app.rabbit_publisher 294
2024-01-04;17:24:58;069;333;python3 -m app.rabbit_publisher 333
2024-01-04;17:25:08;233;273;python3 -m app.rabbit_publisher 273
2024-01-04;17:25:18;390;287;python3 -m app.rabbit_publisher 287
2024-01-04;17:25:28;548;254;python3 -m app.rabbit_publisher 254
2024-01-04;17:25:38;724;183;python3 -m app.rabbit_publisher 183
2024-01-04;17:25:48;873;199;python3 -m app.rabbit_publisher 199
2024-01-04;17:25:59;021;200;python3 -m app.rabbit_publisher 200
2024-01-04;17:26:09;169;258;python3 -m app.rabbit_publisher 258
2024-01-04;17:26:19;333;142;python3 -m app.rabbit_publisher 142
2024-01-04;17:26:29;489;193;python3 -m app.rabbit_publisher 193
2024-01-04;17:26:39;646;293;python3 -m app.rabbit_publisher 293
2024-01-04;17:26:49;810;237;python3 -m app.rabbit_publisher 237
2024-01-04;17:26:59;974;126;python3 -m app.rabbit_publisher 126
2024-01-04;17:27:10;135;296;python3 -m app.rabbit_publisher 296
2024-01-04;17:27:20;306;333;python3 -m app.rabbit_publisher 333
2024-01-04;17:27:30;470;235;python3 -m app.rabbit_publisher 235
2024-01-04;17:27:40;630;245;python3 -m app.rabbit_publisher 245
2024-01-04;17:27:50;783;238;python3 -m app.rabbit_publisher 238
2024-01-04;17:28:00;933;228;python3 -m app.rabbit_publisher 228
2024-01-04;17:28:11;083;223;python3 -m app.rabbit_publisher 223
2024-01-04;17:28:21;262;144;python3 -m app.rabbit_publisher 144
2024-01-04;17:28:31;402;267;python3 -m app.rabbit_publisher 267
2024-01-04;17:28:41;557;310;python3 -m app.rabbit_publisher 310
2024-01-04;17:28:51;745;256;python3 -m app.rabbit_publisher 256
2024-01-04;17:29:01;929;136;python3 -m app.rabbit_publisher 136
2024-01-04;17:29:12;077;123;python3 -m app.rabbit_publisher 123
2024-01-04;17:29:22;229;123;python3 -m app.rabbit_publisher 123
2024-01-04;17:29:32;372;177;python3 -m app.rabbit_publisher 177
2024-01-04;17:29:42;518;209;python3 -m app.rabbit_publisher 209
2024-01-04;17:29:52;675;137;python3 -m app.rabbit_publisher 137
2024-01-04;17:30:02;817;242;python3 -m app.rabbit_publisher 242
2024-01-04;17:30:12;968;284;python3 -m app.rabbit_publisher 284
2024-01-04;17:30:23;123;251;python3 -m app.rabbit_publisher 251
2024-01-04;17:30:33;276;283;python3 -m app.rabbit_publisher 283
2024-01-04;17:30:43;428;311;python3 -m app.rabbit_publisher 311
2024-01-04;17:30:53;622;344;python3 -m app.rabbit_publisher 344
2024-01-04;17:31:03;779;172;python3 -m app.rabbit_publisher 172
2024-01-04;17:31:13;923;182;python3 -m app.rabbit_publisher 182
2024-01-04;17:31:24;082;172;python3 -m app.rabbit_publisher 172
2024-01-04;17:31:34;239;134;python3 -m app.rabbit_publisher 134
2024-01-04;17:31:44;385;130;python3 -m app.rabbit_publisher 130
2024-01-04;17:31:54;532;143;python3 -m app.rabbit_publisher 143
2024-01-04;17:32:04;676;171;python3 -m app.rabbit_publisher 171
2024-01-04;17:32:14;841;126;python3 -m app.rabbit_publisher 126
2024-01-04;17:32:24;996;347;python3 -m app.rabbit_publisher 347
2024-01-04;17:32:35;252;189;python3 -m app.rabbit_publisher 189
2024-01-04;17:32:45;405;204;python3 -m app.rabbit_publisher 204
2024-01-04;17:32:55;557;162;python3 -m app.rabbit_publisher 162
2024-01-04;17:33:05;701;316;python3 -m app.rabbit_publisher 316
2024-01-04;17:33:15;860;140;python3 -m app.rabbit_publisher 140
2024-01-04;17:33:26;031;278;python3 -m app.rabbit_publisher 278
2024-01-04;17:33:36;187;293;python3 -m app.rabbit_publisher 293
2024-01-04;17:33:46;364;179;python3 -m app.rabbit_publisher 179
2024-01-04;17:33:56;511;110;python3 -m app.rabbit_publisher 110
2024-01-04;17:34:06;669;314;python3 -m app.rabbit_publisher 314
2024-01-04;17:34:16;854;255;python3 -m app.rabbit_publisher 255
2024-01-04;17:34:27;004;325;python3 -m app.rabbit_publisher 325
2024-01-04;17:34:37;169;320;python3 -m app.rabbit_publisher 320
2024-01-04;17:34:47;333;234;python3 -m app.rabbit_publisher 234
2024-01-04;17:34:57;499;101;python3 -m app.rabbit_publisher 101
2024-01-04;17:35:07;638;217;python3 -m app.rabbit_publisher 217
2024-01-04;17:35:17;793;220;python3 -m app.rabbit_publisher 220
2024-01-04;17:35:27;981;107;python3 -m app.rabbit_publisher 107
2024-01-04;17:35:38;120;229;python3 -m app.rabbit_publisher 229
2024-01-04;17:35:48;270;138;python3 -m app.rabbit_publisher 138
2024-01-04;17:35:58;419;147;python3 -m app.rabbit_publisher 147
2024-01-04;17:36:08;575;333;python3 -m app.rabbit_publisher 333
2024-01-04;17:36:18;747;124;python3 -m app.rabbit_publisher 124
2024-01-04;17:36:28;883;251;python3 -m app.rabbit_publisher 251
2024-01-04;17:36:39;036;327;python3 -m app.rabbit_publisher 327
2024-01-04;17:36:49;201;253;python3 -m app.rabbit_publisher 253
2024-01-04;17:36:59;354;131;python3 -m app.rabbit_publisher 131
2024-01-04;17:37:09;493;240;python3 -m app.rabbit_publisher 240
2024-01-04;17:37:19;646;344;python3 -m app.rabbit_publisher 344
2024-01-04;17:37:29;807;292;python3 -m app.rabbit_publisher 292
2024-01-04;17:37:39;964;188;python3 -m app.rabbit_publisher 188
2024-01-04;17:37:50;111;171;python3 -m app.rabbit_publisher 171
2024-01-04;17:38:00;252;215;python3 -m app.rabbit_publisher 215
2024-01-04;17:38:10;397;177;python3 -m app.rabbit_publisher 177
2024-01-04;17:38:20;540;275;python3 -m app.rabbit_publisher 275
2024-01-04;17:38:30;695;248;python3 -m app.rabbit_publisher 248
2024-01-04;17:38:40;846;297;python3 -m app.rabbit_publisher 297
2024-01-04;17:38:51;000;330;python3 -m app.rabbit_publisher 330
2024-01-04;17:39:01;168;220;python3 -m app.rabbit_publisher 220
2024-01-04;17:39:11;317;102;python3 -m app.rabbit_publisher 102
2024-01-04;17:39:21;456;339;python3 -m app.rabbit_publisher 339
2024-01-04;17:39:31;626;246;python3 -m app.rabbit_publisher 246
2024-01-04;17:39:41;775;237;python3 -m app.rabbit_publisher 237
2024-01-04;17:39:51;947;338;python3 -m app.rabbit_publisher 338
2024-01-04;17:40:02;107;167;python3 -m app.rabbit_publisher 167
2024-01-04;17:40:12;252;303;python3 -m app.rabbit_publisher 303
2024-01-04;17:40:22;448;120;python3 -m app.rabbit_publisher 120
2024-01-04;17:40:32;589;277;python3 -m app.rabbit_publisher 277
2024-01-04;17:40:42;747;348;python3 -m app.rabbit_publisher 348
2024-01-04;17:40:52;910;166;python3 -m app.rabbit_publisher 166
2024-01-04;17:41:03;056;218;python3 -m app.rabbit_publisher 218
2024-01-04;17:41:13;227;244;python3 -m app.rabbit_publisher 244
2024-01-04;17:41:23;379;148;python3 -m app.rabbit_publisher 148
2024-01-04;17:41:33;521;163;python3 -m app.rabbit_publisher 163
2024-01-04;17:41:43;667;349;python3 -m app.rabbit_publisher 349
2024-01-04;17:41:53;836;144;python3 -m app.rabbit_publisher 144
2024-01-04;17:42:03;978;142;python3 -m app.rabbit_publisher 142
2024-01-04;17:42:14;128;296;python3 -m app.rabbit_publisher 296
2024-01-04;17:42:24;283;343;python3 -m app.rabbit_publisher 343
2024-01-04;17:42:34;446;322;python3 -m app.rabbit_publisher 322
2024-01-04;17:42:44;616;178;python3 -m app.rabbit_publisher 178
2024-01-04;17:42:54;766;221;python3 -m app.rabbit_publisher 221
2024-01-04;17:43:04;912;293;python3 -m app.rabbit_publisher 293
2024-01-04;17:43:15;071;198;python3 -m app.rabbit_publisher 198
2024-01-04;17:43:25;218;209;python3 -m app.rabbit_publisher 209
2024-01-04;17:43:35;364;199;python3 -m app.rabbit_publisher 199
2024-01-04;17:43:45;512;241;python3 -m app.rabbit_publisher 241
2024-01-04;17:43:55;663;160;python3 -m app.rabbit_publisher 160
2024-01-04;17:44:05;823;102;python3 -m app.rabbit_publisher 102
2024-01-04;17:44:15;960;127;python3 -m app.rabbit_publisher 127
2024-01-04;17:44:26;099;119;python3 -m app.rabbit_publisher 119
2024-01-04;17:44:36;249;214;python3 -m app.rabbit_publisher 214
2024-01-04;17:44:46;403;260;python3 -m app.rabbit_publisher 260
2024-01-04;17:44:56;578;335;python3 -m app.rabbit_publisher 335
2024-01-04;17:45:06;762;271;python3 -m app.rabbit_publisher 271
2024-01-04;17:45:16;919;217;python3 -m app.rabbit_publisher 217
2024-01-04;17:45:27;094;246;python3 -m app.rabbit_publisher 246
2024-01-04;17:45:37;279;291;python3 -m app.rabbit_publisher 291
2024-01-04;17:45:47;471;262;python3 -m app.rabbit_publisher 262
2024-01-04;17:45:57;628;127;python3 -m app.rabbit_publisher 127
2024-01-04;17:46:07;783;219;python3 -m app.rabbit_publisher 219
2024-01-04;17:46:17;957;325;python3 -m app.rabbit_publisher 325
2024-01-04;17:46:28;131;254;python3 -m app.rabbit_publisher 254
2024-01-04;17:46:38;284;266;python3 -m app.rabbit_publisher 266
2024-01-04;17:46:48;443;226;python3 -m app.rabbit_publisher 226
2024-01-04;17:46:58;595;238;python3 -m app.rabbit_publisher 238
2024-01-04;17:47:08;764;278;python3 -m app.rabbit_publisher 278
2024-01-04;17:47:18;919;115;python3 -m app.rabbit_publisher 115
2024-01-04;17:47:29;074;203;python3 -m app.rabbit_publisher 203
2024-01-04;17:47:39;239;252;python3 -m app.rabbit_publisher 252
2024-01-04;17:47:49;414;279;python3 -m app.rabbit_publisher 279
2024-01-04;17:47:59;602;182;python3 -m app.rabbit_publisher 182
